,program,input_size,real_time,cpu_time,energy,cycles,instructions
310,sobel_simd,4096,0.08275,0.08274,1.42041,1348737048.000000,1839486454.000000
311,sobel_simd,4096,0.08456,0.08455,1.58453,1351336473.000000,1843253894.000000
312,sobel_simd,4096,0.10746,0.10744,0.94098,1341533104.000000,1840268000.000000
313,sobel_simd,4096,0.10732,0.10732,0.91058,1344200499.000000,1840740062.000000
314,sobel_simd,4096,0.10817,0.10812,0.92084,1356521769.000000,1844699917.000000
315,sobel_simd,4096,0.09643,0.09639,1.143,1345943474.000000,1841478118.000000
316,sobel_simd,4096,0.08241,0.08237,1.41943,1350850606.000000,1840812858.000000
317,sobel_simd,4096,0.08473,0.08471,1.38842,1347492212.000000,1840095941.000000
318,sobel_simd,4096,0.08353,0.08353,1.3797,1349354916.000000,1845144043.000000
319,sobel_simd,4096,0.09496,0.09415,1.2976,1354883865.000000,1842809285.000000
320,sobel_simd,8192,0.43296,0.43287,3.72307,5395319124.000000,7372326799.000000
321,sobel_simd,8192,0.36269,0.36262,5.15142,5393323376.000000,7372809470.000000
322,sobel_simd,8192,0.43145,0.43135,3.66027,5385421312.000000,7376262014.000000
323,sobel_simd,8192,0.43608,0.43602,3.78619,5548669990.000000,7370998170.000000
324,sobel_simd,8192,0.37699,0.37691,5.0186,5406364940.000000,7376171724.000000
